took 0.541275 seconds, 32.262506 ns per cacheline, pageSize= 229376 , cacheLine=64, pages=4681 tlb misses=262410
took 0.552906 seconds, 32.955768 ns per cacheline, pageSize= 233472 , cacheLine=64, pages=4599 tlb misses=262432
took 0.548129 seconds, 32.671025 ns per cacheline, pageSize= 237568 , cacheLine=64, pages=4519 tlb misses=262430
took 0.551003 seconds, 32.842337 ns per cacheline, pageSize= 241664 , cacheLine=64, pages=4443 tlb misses=262410
took 0.560425 seconds, 33.403936 ns per cacheline, pageSize= 245760 , cacheLine=64, pages=4369 tlb misses=262418
took 0.554004 seconds, 33.021209 ns per cacheline, pageSize= 249856 , cacheLine=64, pages=4297 tlb misses=262398
took 0.556629 seconds, 33.177670 ns per cacheline, pageSize= 253952 , cacheLine=64, pages=4228 tlb misses=262423
took 0.560735 seconds, 33.422410 ns per cacheline, pageSize= 258048 , cacheLine=64, pages=4161 tlb misses=262425
took 0.560768 seconds, 33.424385 ns per cacheline, pageSize= 262144 , cacheLine=64, pages=4096 tlb misses=262439
took 0.566401 seconds, 33.760131 ns per cacheline, pageSize= 266240 , cacheLine=64, pages=4032 tlb misses=262287
took 0.570876 seconds, 34.026854 ns per cacheline, pageSize= 270336 , cacheLine=64, pages=3971 tlb misses=262365
took 0.572482 seconds, 34.122579 ns per cacheline, pageSize= 274432 , cacheLine=64, pages=3912 tlb misses=262398
took 0.574274 seconds, 34.229387 ns per cacheline, pageSize= 278528 , cacheLine=64, pages=3855 tlb misses=262423
took 0.584190 seconds, 34.820431 ns per cacheline, pageSize= 282624 , cacheLine=64, pages=3799 tlb misses=262478
took 0.577720 seconds, 34.434805 ns per cacheline, pageSize= 286720 , cacheLine=64, pages=3744 tlb misses=262312
took 0.581721 seconds, 34.673278 ns per cacheline, pageSize= 290816 , cacheLine=64, pages=3692 tlb misses=262485
took 0.584573 seconds, 34.843268 ns per cacheline, pageSize= 294912 , cacheLine=64, pages=3640 tlb misses=262440
took 0.582907 seconds, 34.743977 ns per cacheline, pageSize= 299008 , cacheLine=64, pages=3591 tlb misses=262508
took 0.589252 seconds, 35.122156 ns per cacheline, pageSize= 303104 , cacheLine=64, pages=3542 tlb misses=262387
took 0.589751 seconds, 35.151899 ns per cacheline, pageSize= 307200 , cacheLine=64, pages=3495 tlb misses=262415
took 0.591064 seconds, 35.230158 ns per cacheline, pageSize= 311296 , cacheLine=64, pages=3449 tlb misses=262395
took 0.593593 seconds, 35.380907 ns per cacheline, pageSize= 315392 , cacheLine=64, pages=3404 tlb misses=262395
took 0.595495 seconds, 35.494267 ns per cacheline, pageSize= 319488 , cacheLine=64, pages=3360 tlb misses=262372
took 0.596546 seconds, 35.556909 ns per cacheline, pageSize= 323584 , cacheLine=64, pages=3318 tlb misses=262320
took 0.599001 seconds, 35.703252 ns per cacheline, pageSize= 327680 , cacheLine=64, pages=3276 tlb misses=262384
took 0.602387 seconds, 35.905060 ns per cacheline, pageSize= 331776 , cacheLine=64, pages=3236 tlb misses=262442
took 0.610680 seconds, 36.399356 ns per cacheline, pageSize= 335872 , cacheLine=64, pages=3196 tlb misses=262446
took 0.602325 seconds, 35.901365 ns per cacheline, pageSize= 339968 , cacheLine=64, pages=3158 tlb misses=262500
took 0.606480 seconds, 36.149032 ns per cacheline, pageSize= 344064 , cacheLine=64, pages=3120 tlb misses=262381
took 0.604080 seconds, 36.005972 ns per cacheline, pageSize= 348160 , cacheLine=64, pages=3084 tlb misses=262438
took 0.613510 seconds, 36.568039 ns per cacheline, pageSize= 352256 , cacheLine=64, pages=3048 tlb misses=262431
took 0.611134 seconds, 36.426428 ns per cacheline, pageSize= 356352 , cacheLine=64, pages=3013 tlb misses=262427
took 0.615218 seconds, 36.669846 ns per cacheline, pageSize= 360448 , cacheLine=64, pages=2978 tlb misses=262457
took 0.611969 seconds, 36.476195 ns per cacheline, pageSize= 364544 , cacheLine=64, pages=2945 tlb misses=262398
took 0.613958 seconds, 36.594741 ns per cacheline, pageSize= 368640 , cacheLine=64, pages=2912 tlb misses=262393
took 0.620894 seconds, 37.008164 ns per cacheline, pageSize= 372736 , cacheLine=64, pages=2880 tlb misses=262395
took 0.614093 seconds, 36.602785 ns per cacheline, pageSize= 376832 , cacheLine=64, pages=2849 tlb misses=262448
took 0.616970 seconds, 36.774281 ns per cacheline, pageSize= 380928 , cacheLine=64, pages=2818 tlb misses=262376
took 0.624018 seconds, 37.194368 ns per cacheline, pageSize= 385024 , cacheLine=64, pages=2788 tlb misses=262392
took 0.624337 seconds, 37.213397 ns per cacheline, pageSize= 389120 , cacheLine=64, pages=2759 tlb misses=262414
took 0.622056 seconds, 37.077427 ns per cacheline, pageSize= 393216 , cacheLine=64, pages=2730 tlb misses=262393
took 0.622490 seconds, 37.103291 ns per cacheline, pageSize= 397312 , cacheLine=64, pages=2702 tlb misses=262412
took 0.623642 seconds, 37.171958 ns per cacheline, pageSize= 401408 , cacheLine=64, pages=2674 tlb misses=262360
took 0.624516 seconds, 37.224055 ns per cacheline, pageSize= 405504 , cacheLine=64, pages=2647 tlb misses=262362
took 0.625952 seconds, 37.309647 ns per cacheline, pageSize= 409600 , cacheLine=64, pages=2621 tlb misses=262411
took 0.631625 seconds, 37.647780 ns per cacheline, pageSize= 413696 , cacheLine=64, pages=2595 tlb misses=262407
took 0.635943 seconds, 37.905153 ns per cacheline, pageSize= 417792 , cacheLine=64, pages=2570 tlb misses=262458
took 0.628755 seconds, 37.476724 ns per cacheline, pageSize= 421888 , cacheLine=64, pages=2545 tlb misses=262420
took 0.629429 seconds, 37.516884 ns per cacheline, pageSize= 425984 , cacheLine=64, pages=2520 tlb misses=262390
took 0.639147 seconds, 38.096132 ns per cacheline, pageSize= 430080 , cacheLine=64, pages=2496 tlb misses=262403
took 0.631609 seconds, 37.646842 ns per cacheline, pageSize= 434176 , cacheLine=64, pages=2473 tlb misses=262454
took 0.632637 seconds, 37.708105 ns per cacheline, pageSize= 438272 , cacheLine=64, pages=2449 tlb misses=262353
took 0.641645 seconds, 38.245034 ns per cacheline, pageSize= 442368 , cacheLine=64, pages=2427 tlb misses=262435
took 0.633977 seconds, 37.787970 ns per cacheline, pageSize= 446464 , cacheLine=64, pages=2404 tlb misses=262352
took 0.631658 seconds, 37.649755 ns per cacheline, pageSize= 450560 , cacheLine=64, pages=2383 tlb misses=262448
took 0.637276 seconds, 37.984620 ns per cacheline, pageSize= 454656 , cacheLine=64, pages=2361 tlb misses=262389
took 0.637215 seconds, 37.980982 ns per cacheline, pageSize= 458752 , cacheLine=64, pages=2340 tlb misses=262403
took 0.635975 seconds, 37.907057 ns per cacheline, pageSize= 462848 , cacheLine=64, pages=2319 tlb misses=262369
took 0.638943 seconds, 38.083968 ns per cacheline, pageSize= 466944 , cacheLine=64, pages=2299 tlb misses=262411
took 0.639128 seconds, 38.094996 ns per cacheline, pageSize= 471040 , cacheLine=64, pages=2279 tlb misses=262412
took 0.647639 seconds, 38.602295 ns per cacheline, pageSize= 475136 , cacheLine=64, pages=2259 tlb misses=262369
took 0.640674 seconds, 38.187139 ns per cacheline, pageSize= 479232 , cacheLine=64, pages=2240 tlb misses=262522
took 0.645883 seconds, 38.497618 ns per cacheline, pageSize= 483328 , cacheLine=64, pages=2221 tlb misses=262461
took 0.645588 seconds, 38.480053 ns per cacheline, pageSize= 487424 , cacheLine=64, pages=2202 tlb misses=262329
took 0.646824 seconds, 38.553722 ns per cacheline, pageSize= 491520 , cacheLine=64, pages=2184 tlb misses=262408
took 0.647663 seconds, 38.603716 ns per cacheline, pageSize= 495616 , cacheLine=64, pages=2166 tlb misses=262413
took 0.644086 seconds, 38.390525 ns per cacheline, pageSize= 499712 , cacheLine=64, pages=2148 tlb misses=262283
took 0.650782 seconds, 38.789636 ns per cacheline, pageSize= 503808 , cacheLine=64, pages=2131 tlb misses=262448
took 0.643187 seconds, 38.336935 ns per cacheline, pageSize= 507904 , cacheLine=64, pages=2114 tlb misses=262467
took 0.647918 seconds, 38.618921 ns per cacheline, pageSize= 512000 , cacheLine=64, pages=2097 tlb misses=262556
took 0.650921 seconds, 38.797921 ns per cacheline, pageSize= 516096 , cacheLine=64, pages=2080 tlb misses=262417
took 0.656767 seconds, 39.146357 ns per cacheline, pageSize= 520192 , cacheLine=64, pages=2064 tlb misses=262468
took 0.647769 seconds, 38.610040 ns per cacheline, pageSize= 524288 , cacheLine=64, pages=2048 tlb misses=262441
took 0.649161 seconds, 38.693003 ns per cacheline, pageSize= 528384 , cacheLine=64, pages=2032 tlb misses=262462
took 0.651181 seconds, 38.813411 ns per cacheline, pageSize= 532480 , cacheLine=64, pages=2016 tlb misses=262416
took 0.651700 seconds, 38.844348 ns per cacheline, pageSize= 536576 , cacheLine=64, pages=2001 tlb misses=262465
took 0.655319 seconds, 39.060055 ns per cacheline, pageSize= 540672 , cacheLine=64, pages=1985 tlb misses=262344
took 0.648516 seconds, 38.654562 ns per cacheline, pageSize= 544768 , cacheLine=64, pages=1971 tlb misses=262478
took 0.660780 seconds, 39.385554 ns per cacheline, pageSize= 548864 , cacheLine=64, pages=1956 tlb misses=262440
took 0.662428 seconds, 39.483780 ns per cacheline, pageSize= 552960 , cacheLine=64, pages=1941 tlb misses=262335
took 0.652439 seconds, 38.888402 ns per cacheline, pageSize= 557056 , cacheLine=64, pages=1927 tlb misses=262407
took 0.662887 seconds, 39.511136 ns per cacheline, pageSize= 561152 , cacheLine=64, pages=1913 tlb misses=262421
took 0.656269 seconds, 39.116671 ns per cacheline, pageSize= 565248 , cacheLine=64, pages=1899 tlb misses=262407
took 0.655750 seconds, 39.085748 ns per cacheline, pageSize= 569344 , cacheLine=64, pages=1885 tlb misses=262354
took 0.664804 seconds, 39.625405 ns per cacheline, pageSize= 573440 , cacheLine=64, pages=1872 tlb misses=262421
