took 1.060237 seconds, 63.195046 ns per cacheline, pageSize= 229376 , cacheLine=64, pages=4681 tlb misses=262245
took 1.058535 seconds, 63.093609 ns per cacheline, pageSize= 233472 , cacheLine=64, pages=4599 tlb misses=262249
took 1.056496 seconds, 62.972063 ns per cacheline, pageSize= 237568 , cacheLine=64, pages=4519 tlb misses=262269
took 1.077465 seconds, 64.221908 ns per cacheline, pageSize= 241664 , cacheLine=64, pages=4443 tlb misses=262246
took 1.054945 seconds, 62.879622 ns per cacheline, pageSize= 245760 , cacheLine=64, pages=4369 tlb misses=262247
took 1.053908 seconds, 62.817804 ns per cacheline, pageSize= 249856 , cacheLine=64, pages=4297 tlb misses=262232
took 1.052084 seconds, 62.709091 ns per cacheline, pageSize= 253952 , cacheLine=64, pages=4228 tlb misses=262323
took 1.052246 seconds, 62.718740 ns per cacheline, pageSize= 258048 , cacheLine=64, pages=4161 tlb misses=262243
took 1.071980 seconds, 63.894987 ns per cacheline, pageSize= 262144 , cacheLine=64, pages=4096 tlb misses=262363
took 1.049217 seconds, 62.538220 ns per cacheline, pageSize= 266240 , cacheLine=64, pages=4032 tlb misses=262189
took 1.069583 seconds, 63.752111 ns per cacheline, pageSize= 270336 , cacheLine=64, pages=3971 tlb misses=262192
took 1.048920 seconds, 62.520499 ns per cacheline, pageSize= 274432 , cacheLine=64, pages=3912 tlb misses=262218
took 1.056220 seconds, 62.955621 ns per cacheline, pageSize= 278528 , cacheLine=64, pages=3855 tlb misses=262563
took 1.046468 seconds, 62.374355 ns per cacheline, pageSize= 282624 , cacheLine=64, pages=3799 tlb misses=262246
took 1.045909 seconds, 62.341030 ns per cacheline, pageSize= 286720 , cacheLine=64, pages=3744 tlb misses=262182
took 1.045541 seconds, 62.319103 ns per cacheline, pageSize= 290816 , cacheLine=64, pages=3692 tlb misses=262249
took 1.064346 seconds, 63.439970 ns per cacheline, pageSize= 294912 , cacheLine=64, pages=3640 tlb misses=262201
took 1.045725 seconds, 62.330059 ns per cacheline, pageSize= 299008 , cacheLine=64, pages=3591 tlb misses=262258
took 1.044274 seconds, 62.243586 ns per cacheline, pageSize= 303104 , cacheLine=64, pages=3542 tlb misses=262216
took 1.042404 seconds, 62.132116 ns per cacheline, pageSize= 307200 , cacheLine=64, pages=3495 tlb misses=262240
took 1.043023 seconds, 62.169008 ns per cacheline, pageSize= 311296 , cacheLine=64, pages=3449 tlb misses=262254
took 1.043194 seconds, 62.179197 ns per cacheline, pageSize= 315392 , cacheLine=64, pages=3404 tlb misses=262229
took 1.042956 seconds, 62.165029 ns per cacheline, pageSize= 319488 , cacheLine=64, pages=3360 tlb misses=262208
took 1.049149 seconds, 62.534156 ns per cacheline, pageSize= 323584 , cacheLine=64, pages=3318 tlb misses=262236
took 1.042502 seconds, 62.137957 ns per cacheline, pageSize= 327680 , cacheLine=64, pages=3276 tlb misses=262200
took 1.061884 seconds, 63.293214 ns per cacheline, pageSize= 331776 , cacheLine=64, pages=3236 tlb misses=262252
took 1.063109 seconds, 63.366244 ns per cacheline, pageSize= 335872 , cacheLine=64, pages=3196 tlb misses=262205
took 1.040010 seconds, 61.989425 ns per cacheline, pageSize= 339968 , cacheLine=64, pages=3158 tlb misses=262229
took 1.039206 seconds, 61.941506 ns per cacheline, pageSize= 344064 , cacheLine=64, pages=3120 tlb misses=262187
took 1.039770 seconds, 61.975115 ns per cacheline, pageSize= 348160 , cacheLine=64, pages=3084 tlb misses=262359
took 1.040565 seconds, 62.022508 ns per cacheline, pageSize= 352256 , cacheLine=64, pages=3048 tlb misses=262247
took 1.039983 seconds, 61.987819 ns per cacheline, pageSize= 356352 , cacheLine=64, pages=3013 tlb misses=262236
took 1.041203 seconds, 62.060536 ns per cacheline, pageSize= 360448 , cacheLine=64, pages=2978 tlb misses=262187
took 1.039540 seconds, 61.961401 ns per cacheline, pageSize= 364544 , cacheLine=64, pages=2945 tlb misses=262228
took 1.041486 seconds, 62.077405 ns per cacheline, pageSize= 368640 , cacheLine=64, pages=2912 tlb misses=262277
took 1.038778 seconds, 61.915983 ns per cacheline, pageSize= 372736 , cacheLine=64, pages=2880 tlb misses=262296
took 1.032568 seconds, 61.545848 ns per cacheline, pageSize= 376832 , cacheLine=64, pages=2849 tlb misses=262222
took 1.037757 seconds, 61.855133 ns per cacheline, pageSize= 380928 , cacheLine=64, pages=2818 tlb misses=262322
took 1.026656 seconds, 61.193475 ns per cacheline, pageSize= 385024 , cacheLine=64, pages=2788 tlb misses=262272
took 1.061741 seconds, 63.284688 ns per cacheline, pageSize= 389120 , cacheLine=64, pages=2759 tlb misses=262337
took 1.028409 seconds, 61.297953 ns per cacheline, pageSize= 393216 , cacheLine=64, pages=2730 tlb misses=262189
took 1.036617 seconds, 61.787190 ns per cacheline, pageSize= 397312 , cacheLine=64, pages=2702 tlb misses=262198
took 1.026811 seconds, 61.202698 ns per cacheline, pageSize= 401408 , cacheLine=64, pages=2674 tlb misses=262167
took 1.013677 seconds, 60.419850 ns per cacheline, pageSize= 405504 , cacheLine=64, pages=2647 tlb misses=262183
took 1.038199 seconds, 61.881479 ns per cacheline, pageSize= 409600 , cacheLine=64, pages=2621 tlb misses=262220
took 1.041049 seconds, 62.051356 ns per cacheline, pageSize= 413696 , cacheLine=64, pages=2595 tlb misses=262303
took 1.037562 seconds, 61.843508 ns per cacheline, pageSize= 417792 , cacheLine=64, pages=2570 tlb misses=262253
took 1.045788 seconds, 62.333825 ns per cacheline, pageSize= 421888 , cacheLine=64, pages=2545 tlb misses=262239
took 1.044944 seconds, 62.283519 ns per cacheline, pageSize= 425984 , cacheLine=64, pages=2520 tlb misses=262187
took 1.045078 seconds, 62.291505 ns per cacheline, pageSize= 430080 , cacheLine=64, pages=2496 tlb misses=262187
took 1.045123 seconds, 62.294191 ns per cacheline, pageSize= 434176 , cacheLine=64, pages=2473 tlb misses=262242
took 1.045025 seconds, 62.288350 ns per cacheline, pageSize= 438272 , cacheLine=64, pages=2449 tlb misses=262155
took 1.043661 seconds, 62.207036 ns per cacheline, pageSize= 442368 , cacheLine=64, pages=2427 tlb misses=262248
took 1.056993 seconds, 63.001693 ns per cacheline, pageSize= 446464 , cacheLine=64, pages=2404 tlb misses=262145
took 1.058031 seconds, 63.063567 ns per cacheline, pageSize= 450560 , cacheLine=64, pages=2383 tlb misses=262233
took 1.045554 seconds, 62.319870 ns per cacheline, pageSize= 454656 , cacheLine=64, pages=2361 tlb misses=262200
took 1.035535 seconds, 61.722702 ns per cacheline, pageSize= 458752 , cacheLine=64, pages=2340 tlb misses=262195
took 1.028047 seconds, 61.276367 ns per cacheline, pageSize= 462848 , cacheLine=64, pages=2319 tlb misses=262176
took 1.036747 seconds, 61.794935 ns per cacheline, pageSize= 466944 , cacheLine=64, pages=2299 tlb misses=262216
took 1.036238 seconds, 61.764595 ns per cacheline, pageSize= 471040 , cacheLine=64, pages=2279 tlb misses=262183
took 1.037903 seconds, 61.863830 ns per cacheline, pageSize= 475136 , cacheLine=64, pages=2259 tlb misses=262175
took 1.041206 seconds, 62.060721 ns per cacheline, pageSize= 479232 , cacheLine=64, pages=2240 tlb misses=262210
took 1.043681 seconds, 62.208244 ns per cacheline, pageSize= 483328 , cacheLine=64, pages=2221 tlb misses=262204
took 1.044843 seconds, 62.277508 ns per cacheline, pageSize= 487424 , cacheLine=64, pages=2202 tlb misses=262143
took 1.044371 seconds, 62.249356 ns per cacheline, pageSize= 491520 , cacheLine=64, pages=2184 tlb misses=262484
took 1.048415 seconds, 62.490415 ns per cacheline, pageSize= 495616 , cacheLine=64, pages=2166 tlb misses=262181
took 1.044759 seconds, 62.272491 ns per cacheline, pageSize= 499712 , cacheLine=64, pages=2148 tlb misses=262166
took 1.044571 seconds, 62.261279 ns per cacheline, pageSize= 503808 , cacheLine=64, pages=2131 tlb misses=262238
took 1.055656 seconds, 62.921998 ns per cacheline, pageSize= 507904 , cacheLine=64, pages=2114 tlb misses=262278
took 1.045706 seconds, 62.328922 ns per cacheline, pageSize= 512000 , cacheLine=64, pages=2097 tlb misses=262255
took 1.041884 seconds, 62.101122 ns per cacheline, pageSize= 516096 , cacheLine=64, pages=2080 tlb misses=262182
took 1.040532 seconds, 62.020533 ns per cacheline, pageSize= 520192 , cacheLine=64, pages=2064 tlb misses=262225
took 1.025031 seconds, 61.096614 ns per cacheline, pageSize= 524288 , cacheLine=64, pages=2048 tlb misses=262365
took 1.041341 seconds, 62.068764 ns per cacheline, pageSize= 528384 , cacheLine=64, pages=2032 tlb misses=262228
took 1.046228 seconds, 62.360044 ns per cacheline, pageSize= 532480 , cacheLine=64, pages=2016 tlb misses=262226
took 1.057994 seconds, 63.061364 ns per cacheline, pageSize= 536576 , cacheLine=64, pages=2001 tlb misses=262287
took 1.056702 seconds, 62.984356 ns per cacheline, pageSize= 540672 , cacheLine=64, pages=1985 tlb misses=262138
took 1.041345 seconds, 62.068992 ns per cacheline, pageSize= 544768 , cacheLine=64, pages=1971 tlb misses=262229
took 1.047514 seconds, 62.436698 ns per cacheline, pageSize= 548864 , cacheLine=64, pages=1956 tlb misses=262828
took 1.058622 seconds, 63.098781 ns per cacheline, pageSize= 552960 , cacheLine=64, pages=1941 tlb misses=262152
took 1.021678 seconds, 60.896753 ns per cacheline, pageSize= 557056 , cacheLine=64, pages=1927 tlb misses=262208
took 1.057360 seconds, 63.023563 ns per cacheline, pageSize= 561152 , cacheLine=64, pages=1913 tlb misses=262179
took 1.054231 seconds, 62.837060 ns per cacheline, pageSize= 565248 , cacheLine=64, pages=1899 tlb misses=262211
took 1.022537 seconds, 60.947954 ns per cacheline, pageSize= 569344 , cacheLine=64, pages=1885 tlb misses=262105
took 1.024112 seconds, 61.041831 ns per cacheline, pageSize= 573440 , cacheLine=64, pages=1872 tlb misses=262162
took 1.016188 seconds, 60.569519 ns per cacheline, pageSize= 577536 , cacheLine=64, pages=1859 tlb misses=262256
took 1.024540 seconds, 61.067340 ns per cacheline, pageSize= 581632 , cacheLine=64, pages=1846 tlb misses=262267
took 1.010311 seconds, 60.219236 ns per cacheline, pageSize= 585728 , cacheLine=64, pages=1833 tlb misses=262237
took 1.060847 seconds, 63.231411 ns per cacheline, pageSize= 589824 , cacheLine=64, pages=1820 tlb misses=262221
took 1.051646 seconds, 62.682986 ns per cacheline, pageSize= 593920 , cacheLine=64, pages=1807 tlb misses=262125
took 1.044526 seconds, 62.258593 ns per cacheline, pageSize= 598016 , cacheLine=64, pages=1795 tlb misses=262182
took 1.058268 seconds, 63.077692 ns per cacheline, pageSize= 602112 , cacheLine=64, pages=1783 tlb misses=262285
took 1.021011 seconds, 60.857005 ns per cacheline, pageSize= 606208 , cacheLine=64, pages=1771 tlb misses=262200
took 1.052601 seconds, 62.739900 ns per cacheline, pageSize= 610304 , cacheLine=64, pages=1759 tlb misses=262270
took 1.049328 seconds, 62.544814 ns per cacheline, pageSize= 614400 , cacheLine=64, pages=1747 tlb misses=262511
took 1.046354 seconds, 62.367562 ns per cacheline, pageSize= 618496 , cacheLine=64, pages=1736 tlb misses=262541
took 1.054665 seconds, 62.862938 ns per cacheline, pageSize= 622592 , cacheLine=64, pages=1724 tlb misses=262242
took 1.059503 seconds, 63.151305 ns per cacheline, pageSize= 626688 , cacheLine=64, pages=1713 tlb misses=262211
took 1.055499 seconds, 62.912648 ns per cacheline, pageSize= 630784 , cacheLine=64, pages=1702 tlb misses=263419
took 0.995953 seconds, 59.363416 ns per cacheline, pageSize= 634880 , cacheLine=64, pages=1691 tlb misses=262633
took 1.001913 seconds, 59.718673 ns per cacheline, pageSize= 638976 , cacheLine=64, pages=1680 tlb misses=262175
took 0.987172 seconds, 58.840030 ns per cacheline, pageSize= 643072 , cacheLine=64, pages=1669 tlb misses=262308
took 1.010497 seconds, 60.230306 ns per cacheline, pageSize= 647168 , cacheLine=64, pages=1659 tlb misses=262271
took 0.988504 seconds, 58.919426 ns per cacheline, pageSize= 651264 , cacheLine=64, pages=1648 tlb misses=262131
took 1.012099 seconds, 60.325803 ns per cacheline, pageSize= 655360 , cacheLine=64, pages=1638 tlb misses=262162
took 1.013399 seconds, 60.403295 ns per cacheline, pageSize= 659456 , cacheLine=64, pages=1628 tlb misses=262278
took 1.015523 seconds, 60.529885 ns per cacheline, pageSize= 663552 , cacheLine=64, pages=1618 tlb misses=262275
took 0.993766 seconds, 59.233074 ns per cacheline, pageSize= 667648 , cacheLine=64, pages=1608 tlb misses=262264
