took 1.044645 seconds, 62.265698 ns per cacheline, pageSize= 229376 , cacheLine=64, pages=4681 tlb misses=262191
took 1.036520 seconds, 61.781407 ns per cacheline, pageSize= 233472 , cacheLine=64, pages=4599 tlb misses=262219
took 1.041760 seconds, 62.093733 ns per cacheline, pageSize= 237568 , cacheLine=64, pages=4519 tlb misses=262120
took 1.040074 seconds, 61.993248 ns per cacheline, pageSize= 241664 , cacheLine=64, pages=4443 tlb misses=262260
took 1.015140 seconds, 60.507062 ns per cacheline, pageSize= 245760 , cacheLine=64, pages=4369 tlb misses=262193
took 1.038263 seconds, 61.885302 ns per cacheline, pageSize= 249856 , cacheLine=64, pages=4297 tlb misses=262156
took 1.037959 seconds, 61.867183 ns per cacheline, pageSize= 253952 , cacheLine=64, pages=4228 tlb misses=262200
took 1.028214 seconds, 61.286329 ns per cacheline, pageSize= 258048 , cacheLine=64, pages=4161 tlb misses=262199
took 1.031832 seconds, 61.501993 ns per cacheline, pageSize= 262144 , cacheLine=64, pages=4096 tlb misses=262215
took 1.029329 seconds, 61.352793 ns per cacheline, pageSize= 266240 , cacheLine=64, pages=4032 tlb misses=262019
took 1.034346 seconds, 61.651818 ns per cacheline, pageSize= 270336 , cacheLine=64, pages=3971 tlb misses=262147
took 1.011790 seconds, 60.307386 ns per cacheline, pageSize= 274432 , cacheLine=64, pages=3912 tlb misses=262125
took 1.035909 seconds, 61.744984 ns per cacheline, pageSize= 278528 , cacheLine=64, pages=3855 tlb misses=262392
took 1.068588 seconds, 63.692809 ns per cacheline, pageSize= 282624 , cacheLine=64, pages=3799 tlb misses=262197
took 1.022532 seconds, 60.947656 ns per cacheline, pageSize= 286720 , cacheLine=64, pages=3744 tlb misses=262064
took 1.024351 seconds, 61.056070 ns per cacheline, pageSize= 290816 , cacheLine=64, pages=3692 tlb misses=262181
took 1.022000 seconds, 60.915951 ns per cacheline, pageSize= 294912 , cacheLine=64, pages=3640 tlb misses=262128
took 1.030990 seconds, 61.451786 ns per cacheline, pageSize= 299008 , cacheLine=64, pages=3591 tlb misses=262267
took 1.066839 seconds, 63.588558 ns per cacheline, pageSize= 303104 , cacheLine=64, pages=3542 tlb misses=262184
took 1.029449 seconds, 61.359941 ns per cacheline, pageSize= 307200 , cacheLine=64, pages=3495 tlb misses=262184
took 1.019060 seconds, 60.740717 ns per cacheline, pageSize= 311296 , cacheLine=64, pages=3449 tlb misses=262190
took 1.019861 seconds, 60.788452 ns per cacheline, pageSize= 315392 , cacheLine=64, pages=3404 tlb misses=262148
took 1.015601 seconds, 60.534546 ns per cacheline, pageSize= 319488 , cacheLine=64, pages=3360 tlb misses=262135
took 1.018464 seconds, 60.705190 ns per cacheline, pageSize= 323584 , cacheLine=64, pages=3318 tlb misses=262098
took 1.019190 seconds, 60.748448 ns per cacheline, pageSize= 327680 , cacheLine=64, pages=3276 tlb misses=262099
took 1.016494 seconds, 60.587752 ns per cacheline, pageSize= 331776 , cacheLine=64, pages=3236 tlb misses=262174
took 1.004615 seconds, 59.879724 ns per cacheline, pageSize= 335872 , cacheLine=64, pages=3196 tlb misses=262118
took 1.031259 seconds, 61.467830 ns per cacheline, pageSize= 339968 , cacheLine=64, pages=3158 tlb misses=262163
took 1.016669 seconds, 60.598197 ns per cacheline, pageSize= 344064 , cacheLine=64, pages=3120 tlb misses=262129
took 1.003310 seconds, 59.801934 ns per cacheline, pageSize= 348160 , cacheLine=64, pages=3084 tlb misses=262195
took 1.019796 seconds, 60.784572 ns per cacheline, pageSize= 352256 , cacheLine=64, pages=3048 tlb misses=262164
took 1.002497 seconds, 59.753475 ns per cacheline, pageSize= 356352 , cacheLine=64, pages=3013 tlb misses=262181
took 1.016583 seconds, 60.593067 ns per cacheline, pageSize= 360448 , cacheLine=64, pages=2978 tlb misses=262123
took 1.023245 seconds, 60.990146 ns per cacheline, pageSize= 364544 , cacheLine=64, pages=2945 tlb misses=262177
took 1.017958 seconds, 60.675021 ns per cacheline, pageSize= 368640 , cacheLine=64, pages=2912 tlb misses=262132
took 1.003549 seconds, 59.816173 ns per cacheline, pageSize= 372736 , cacheLine=64, pages=2880 tlb misses=262101
took 1.046164 seconds, 62.356236 ns per cacheline, pageSize= 376832 , cacheLine=64, pages=2849 tlb misses=262136
took 1.011000 seconds, 60.260305 ns per cacheline, pageSize= 380928 , cacheLine=64, pages=2818 tlb misses=262114
took 1.014106 seconds, 60.445430 ns per cacheline, pageSize= 385024 , cacheLine=64, pages=2788 tlb misses=262136
took 1.012899 seconds, 60.373480 ns per cacheline, pageSize= 389120 , cacheLine=64, pages=2759 tlb misses=262174
took 1.014922 seconds, 60.494074 ns per cacheline, pageSize= 393216 , cacheLine=64, pages=2730 tlb misses=262146
took 1.016087 seconds, 60.563508 ns per cacheline, pageSize= 397312 , cacheLine=64, pages=2702 tlb misses=262131
took 1.059116 seconds, 63.128226 ns per cacheline, pageSize= 401408 , cacheLine=64, pages=2674 tlb misses=262108
took 1.012368 seconds, 60.341847 ns per cacheline, pageSize= 405504 , cacheLine=64, pages=2647 tlb misses=262077
took 1.016138 seconds, 60.566549 ns per cacheline, pageSize= 409600 , cacheLine=64, pages=2621 tlb misses=262312
took 0.999667 seconds, 59.584792 ns per cacheline, pageSize= 413696 , cacheLine=64, pages=2595 tlb misses=262146
took 0.999411 seconds, 59.569544 ns per cacheline, pageSize= 417792 , cacheLine=64, pages=2570 tlb misses=262295
took 1.011554 seconds, 60.293317 ns per cacheline, pageSize= 421888 , cacheLine=64, pages=2545 tlb misses=262205
took 1.021589 seconds, 60.891438 ns per cacheline, pageSize= 425984 , cacheLine=64, pages=2520 tlb misses=262126
took 1.016680 seconds, 60.598850 ns per cacheline, pageSize= 430080 , cacheLine=64, pages=2496 tlb misses=262127
took 1.024208 seconds, 61.047544 ns per cacheline, pageSize= 434176 , cacheLine=64, pages=2473 tlb misses=262225
took 1.054958 seconds, 62.880403 ns per cacheline, pageSize= 438272 , cacheLine=64, pages=2449 tlb misses=262102
took 1.011567 seconds, 60.294099 ns per cacheline, pageSize= 442368 , cacheLine=64, pages=2427 tlb misses=262215
took 1.011346 seconds, 60.280911 ns per cacheline, pageSize= 446464 , cacheLine=64, pages=2404 tlb misses=262096
took 1.004736 seconds, 59.886929 ns per cacheline, pageSize= 450560 , cacheLine=64, pages=2383 tlb misses=275360
